"","movie_index","original_title","moviesynthesis","neigbhoors"
10,10,"Superman Returns","{'movie_id':'1452','original_title':'Superman Returns','overview':'Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free; and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever; as well as ridding himself of the Man of Steel.','tagline':' ','main_category':'Fantasy','homepage':'http://www.superman.com'}","{'neighb1':'71','neighb2':'315','neighb3':'206','neighb4':'50','neighb5':'208'}"
11,11,"Quantum of Solace","{'movie_id':'10764','original_title':'Quantum of Solace','overview':'Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper; the woman he loved; 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth; Bond and M interrogate Mr. White; who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.','tagline':'For love; for hate; for justice; for revenge.','main_category':'Action','homepage':'http://www.mgm.com/view/movie/234/Quantum-of-Solace/'}","{'neighb1':'277','neighb2':'139','neighb3':'213','neighb4':'425','neighb5':'147'}"
12,12,"Pirates of the Caribbean; Dead Man°s Chest","{'movie_id':'58','original_title':'Pirates of the Caribbean; Dead Man°s Chest','overview':'Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones; he also attempts to avoid eternal damnation.','tagline':'Jack is back!','main_category':'Fantasy','homepage':'http://disney.go.com/disneypictures/pirates/'}","{'neighb1':'98','neighb2':'1','neighb3':'17','neighb4':'199','neighb5':'262'}"
13,13,"The Lone Ranger","{'movie_id':'57201','original_title':'The Lone Ranger','overview':'The Texas Rangers chase down a gang of outlaws led by Butch Cavendish; but the gang ambushes the Rangers; seemingly killing them all. One survivor is found; however; by an American Indian named Tonto; who nurses him back to health. The Ranger; donning a mask and riding a white stallion named Silver; teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.','tagline':'Never Take Off the Mask','main_category':'Adventure','homepage':'http://disney.go.com/the-lone-ranger/'}","{'neighb1':'70','neighb2':'933','neighb3':'3136','neighb4':'178','neighb5':'1365'}"
14,14,"Man of Steel","{'movie_id':'49521','original_title':'Man of Steel','overview':'A young boy learns that he has extraordinary powers and is not of this earth. As a young man; he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.','tagline':'You will believe that a man can fly.','main_category':'Adventure','homepage':'http://www.manofsteel.com/'}","{'neighb1':'46','neighb2':'72','neighb3':'9','neighb4':'20','neighb5':'126'}"
15,15,"The Chronicles of Narnia; Prince Caspian","{'movie_id':'2454','original_title':'The Chronicles of Narnia; Prince Caspian','overview':'One year after their incredible adventures in the Lion; the Witch and the Wardrobe; Peter; Edmund; Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now; with the help of a colorful cast of new characters; including Trufflehunter the badger and Nikabrik the dwarf; the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.','tagline':'Hope has a new face.','main_category':'Family','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'48','neighb2':'63','neighb3':'114','neighb4':'175','neighb5':'368'}"
16,16,"The Avengers","{'movie_id':'24428','original_title':'The Avengers','overview':'When an unexpected enemy emerges and threatens global safety and security; Nick Fury; director of the international peacekeeping agency known as S.H.I.E.L.D.; finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe; a daring recruitment effort begins!','tagline':'Some assembly required.','main_category':'Action','homepage':'http://marvel.com/avengers_movie/'}","{'neighb1':'29','neighb2':'153','neighb3':'134','neighb4':'31','neighb5':'7'}"
17,17,"Pirates of the Caribbean; On Stranger Tides","{'movie_id':'1865','original_title':'Pirates of the Caribbean; On Stranger Tides','overview':'Captain Jack Sparrow crosses paths with a woman from his past; and he°s not sure if it°s love -- or if she°s a ruthless con artist who°s using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne°s Revenge; the ship of the formidable pirate Blackbeard; Jack finds himself on an unexpected adventure in which he doesn°t know who to fear more: Blackbeard or the woman from his past.','tagline':'Live Forever Or Die Trying.','main_category':'Action','homepage':'http://disney.go.com/pirates/index-on-stranger-tides.html#/video/'}","{'neighb1':'1','neighb2':'12','neighb3':'98','neighb4':'199','neighb5':'262'}"
18,18,"Men in Black 3","{'movie_id':'41154','original_title':'Men in Black 3','overview':'Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black; but nothing; not even aliens; perplexes him as much as his wry; reticent partner. But when K°s life and the fate of the planet are put at stake; Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner; the agency; and the future of humankind.','tagline':'They are back... in time.','main_category':'Comedy','homepage':'http://www.sonypictures.com/movies/meninblack3/'}","{'neighb1':'150','neighb2':'342','neighb3':'507','neighb4':'47','neighb5':'4'}"
19,19,"The Hobbit; The Battle of the Five Armies","{'movie_id':'122917','original_title':'The Hobbit; The Battle of the Five Armies','overview':'Immediately after the events of The Desolation of Smaug; Bilbo and the dwarves try to defend Erebor°s mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor; fueled by the rise of the dark lord Sauron. Dwarves; elves and men must unite; and the hope for Middle-Earth falls into Bilbo°s hands.','tagline':'Witness the defining chapter of the Middle-Earth saga','main_category':'Adventure','homepage':'http://www.thehobbit.com/'}","{'neighb1':'32','neighb2':'22','neighb3':'78','neighb4':'38','neighb5':'126'}"
20,20,"The Amazing Spider-Man","{'movie_id':'1930','original_title':'The Amazing Spider-Man','overview':'Peter Parker is an outcast high schooler abandoned by his parents as a boy; leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers; Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father; he begins a quest to understand his parents° disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors; his father°s former partner. As Spider-Man is set on a collision course with Connors° alter ego; The Lizard; Peter will make life-altering choices to use his powers and shape his destiny to become a hero.','tagline':'The untold story begins.','main_category':'Adventure','homepage':'http://www.theamazingspiderman.com'}","{'neighb1':'9','neighb2':'126','neighb3':'38','neighb4':'30','neighb5':'19'}"
21,21,"Robin Hood","{'movie_id':'20662','original_title':'Robin Hood','overview':'When soldier Robin happens upon the dying Robert of Loxley; he promises to return the man°s sword to his family in Nottingham. There; he assumes Robert°s identity; romances his widow; Marion; and draws the ire of the town°s sheriff and King John°s henchman; Godfrey.','tagline':'Rise and rise again; until lambs become lions.','main_category':'Adventure','homepage':'http://www.robinhoodthemovie.com/'}","{'neighb1':'62','neighb2':'189','neighb3':'304','neighb4':'640','neighb5':'469'}"
22,22,"The Hobbit; The Desolation of Smaug","{'movie_id':'57158','original_title':'The Hobbit; The Desolation of Smaug','overview':'The Dwarves; Bilbo and Gandalf have successfully escaped the Misty Mountains; and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon; Smaug.','tagline':'Beyond darkness... beyond desolation... lies the greatest danger of all.','main_category':'Fantasy','homepage':'http://www.thehobbit.com/'}","{'neighb1':'19','neighb2':'32','neighb3':'78','neighb4':'38','neighb5':'126'}"
23,23,"The Golden Compass","{'movie_id':'2268','original_title':'The Golden Compass','overview':'After overhearing a shocking secret; precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North; unaware that it°s part of her destiny.','tagline':'There are worlds beyond our own - the compass will show the way.','main_category':'Fantasy','homepage':'http://www.goldencompassmovie.com/index_german.html'}","{'neighb1':'133','neighb2':'903','neighb3':'428','neighb4':'148','neighb5':'211'}"
24,24,"King Kong","{'movie_id':'254','original_title':'King Kong','overview':'In 1933 New York; an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island; where they encounter Kong; a giant ape who is immediately smitten with the leading lady.','tagline':'The eighth wonder of the world.','main_category':'Drama','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'456','neighb2':'157','neighb3':'115','neighb4':'53','neighb5':'159'}"
25,25,"Titanic","{'movie_id':'597','original_title':'Titanic','overview':'84 years later; a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert; Brock Lovett; Lewis Bodine; Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912; on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother; Ruth DeWitt Bukater; and her fiancé; Caledon Hockley. Meanwhile; a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th; 1912 at 2:20 in the morning.','tagline':'Nothing on Earth could come between them.','main_category':'Romance','homepage':'http://www.titanicmovie.com'}","{'neighb1':'44','neighb2':'29','neighb3':'153','neighb4':'134','neighb5':'16'}"
26,26,"Captain America; Civil War","{'movie_id':'271110','original_title':'Captain America; Civil War','overview':'Following the events of Age of Ultron; the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers; causing two factions to side with Iron Man or Captain America; which causes an epic battle between former allies.','tagline':'Divided We Fall','main_category':'Action','homepage':'http://marvel.com/captainamericapremiere'}","{'neighb1':'79','neighb2':'230','neighb3':'233','neighb4':'675','neighb5':'1490'}"
27,27,"Battleship","{'movie_id':'44833','original_title':'Battleship','overview':'When mankind beams a radio signal into space; a reply comes from ‘Planet G’; in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones; part of an international naval coalition which becomes the world°s last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders; Hopper must also try to live up to the potential his brother; and his fiancée°s father; Admiral Shane; expect of him.','tagline':'The Battle for Earth Begins at Sea','main_category':'Action','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'56','neighb2':'91','neighb3':'242','neighb4':'51','neighb5':'101'}"
28,28,"Jurassic World","{'movie_id':'135397','original_title':'Jurassic World','overview':'Twenty-two years after the events of Jurassic Park; Isla Nublar now features a fully functioning dinosaur theme park; Jurassic World; as originally envisioned by John Hammond.','tagline':'The park is open.','main_category':'Adventure','homepage':'http://www.jurassicworld.com/'}","{'neighb1':'94','neighb2':'788','neighb3':'127','neighb4':'546','neighb5':'95'}"
29,29,"Skyfall","{'movie_id':'37724','original_title':'Skyfall','overview':'When Bond°s latest assignment goes gravely wrong and agents around the world are exposed; MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory; the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out; M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent; Eve - following a trail to the mysterious Silva; whose lethal and hidden motives have yet to reveal themselves.','tagline':'Think on your sins.','main_category':'Adventure','homepage':'http://www.skyfall-movie.com'}","{'neighb1':'16','neighb2':'153','neighb3':'134','neighb4':'31','neighb5':'7'}"
30,30,"Spider-Man 2","{'movie_id':'558','original_title':'Spider-Man 2','overview':'Peter Parker is going through a major identity crisis. Burned out from being Spider-Man; he decides to shelve his superhero alter ego; which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime; Parker still can°t act on his feelings for Mary Jane Watson; a girl he°s loved since childhood.','tagline':'There°s a hero in all of us.','main_category':'Adventure','homepage':'http://www.sonypictures.com/movies/spider-man2/'}","{'neighb1':'38','neighb2':'126','neighb3':'20','neighb4':'78','neighb5':'32'}"
31,31,"Iron Man 3","{'movie_id':'68721','original_title':'Iron Man 3','overview':'When Tony Stark°s world is torn apart by a formidable terrorist called the Mandarin; he starts an odyssey of rebuilding and retribution.','tagline':'Unleash the power behind the armor.','main_category':'Adventure','homepage':'http://marvel.com/ironman3'}","{'neighb1':'7','neighb2':'16','neighb3':'29','neighb4':'96','neighb5':'68'}"
32,32,"Alice in Wonderland","{'movie_id':'12155','original_title':'Alice in Wonderland','overview':'Alice; an unpretentious and individual 19-year-old; is betrothed to a dunce of an English nobleman. At her engagement party; she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called °Underland;° she finds herself in a world that resembles the nightmares she had as a child; filled with talking animals; villainous queens and knights; and frumious bandersnatches. Alice realizes that she is there for a reason – to conquer the horrific Jabberwocky and restore the rightful queen to her throne.','tagline':'You°re invited to a very important date.','main_category':'Fantasy','homepage':'http://disney.go.com/wonderland/'}","{'neighb1':'19','neighb2':'78','neighb3':'22','neighb4':'38','neighb5':'126'}"
33,33,"X-Men; The Last Stand","{'movie_id':'36668','original_title':'X-Men; The Last Stand','overview':'When a cure is found to treat mutations; lines are drawn amongst the X-Men and The Brotherhood; a band of powerful mutants organized under Xavier°s former ally; Magneto.','tagline':'Take a Stand','main_category':'Action','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'122','neighb2':'203','neighb3':'334','neighb4':'76','neighb5':'166'}"
34,34,"Monsters University","{'movie_id':'62211','original_title':'Monsters University','overview':'A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren°t necessarily the best of friends.','tagline':'School never looked this scary.','main_category':'Family','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'57','neighb2':'137','neighb3':'146','neighb4':'504','neighb5':'614'}"
35,35,"Transformers; Revenge of the Fallen","{'movie_id':'8373','original_title':'Transformers; Revenge of the Fallen','overview':'Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols; the Decepticons target him and he is dragged back into the Transformers° war.','tagline':'Revenge is coming.','main_category':'Action','homepage':'http://www.transformersmovie.com/'}","{'neighb1':'2085','neighb2':'36','neighb3':'42','neighb4':'52','neighb5':'1827'}"
36,36,"Transformers; Age of Extinction","{'movie_id':'91314','original_title':'Transformers; Age of Extinction','overview':'As humanity picks up the pieces; following the conclusion of °Transformers: Dark of the Moon;° Autobots and Decepticons have all but vanished from the face of the planet. However; a group of powerful; ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient; powerful Transformer menace sets Earth in his cross-hairs.','tagline':'This is not war. It°s extinction.','main_category':'Action','homepage':'http://www.transformersmovie.com'}","{'neighb1':'35','neighb2':'2085','neighb3':'42','neighb4':'52','neighb5':'1827'}"
37,37,"Oz; The Great and Powerful","{'movie_id':'68728','original_title':'Oz; The Great and Powerful','overview':'Oscar Diggs; a small-time circus illusionist and con-artist; is whisked from Kansas to the Land of Oz where the inhabitants assume he°s the great wizard of prophecy; there to save Oz from the clutches of evil.','tagline':'In Oz; nothing is what it seems','main_category':'Adventure','homepage':'http://www.ozthegreatandpowerfulmovie.com'}","{'neighb1':'235','neighb2':'1519','neighb3':'636','neighb4':'103','neighb5':'237'}"
38,38,"The Amazing Spider-Man 2","{'movie_id':'102382','original_title':'The Amazing Spider-Man 2','overview':'For Peter Parker; life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves; Gwen Stacy; high school graduation cannot come quickly enough. Peter has not forgotten about the promise he made to Gwen’s father to protect her by staying away; but that is a promise he cannot keep. Things will change for Peter when a new villain; Electro; emerges; an old friend; Harry Osborn; returns; and Peter uncovers new clues about his past.','tagline':'No more secrets.','main_category':'Adventure','homepage':'http://www.theamazingspiderman.com'}","{'neighb1':'126','neighb2':'30','neighb3':'20','neighb4':'32','neighb5':'19'}"
39,39,"TRON; Legacy","{'movie_id':'20526','original_title':'TRON; Legacy','overview':'Sam Flynn; the tech-savvy and daring son of Kevin Flynn; investigates his father°s disappearance and is pulled into The Grid. With the help of a mysterious program named Quorra; Sam quests to stop evil dictator Clu from crossing into the real world.','tagline':'The Game Has Changed.','main_category':'Action','homepage':'http://disney.go.com/tron/'}","{'neighb1':'400','neighb2':'75','neighb3':'335','neighb4':'82','neighb5':'200'}"
40,40,"Cars 2","{'movie_id':'49013','original_title':'Cars 2','overview':'Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.','tagline':'Ka-ciao!','main_category':'Family','homepage':'http://www.disney.go.com/cars/'}","{'neighb1':'130','neighb2':'202','neighb3':'569','neighb4':'1363','neighb5':'1777'}"
41,41,"Green Lantern","{'movie_id':'44912','original_title':'Green Lantern','overview':'For centuries; a small but powerful force of warriors called the Green Lantern Corps has sworn to keep intergalactic order. Each Green Lantern wears a ring that grants him superpowers. But when a new enemy called Parallax threatens to destroy the balance of power in the Universe; their fate and the fate of Earth lie in the hands of the first human ever recruited.','tagline':'In our darkest hour; there will be light.','main_category':'Action','homepage':'http://greenlanternmovie.warnerbros.com/'}","{'neighb1':'111','neighb2':'577','neighb3':'931','neighb4':'454','neighb5':'582'}"
42,42,"Toy Story 3","{'movie_id':'10193','original_title':'Toy Story 3','overview':'Woody; Buzz; and the rest of Andy°s toys haven°t been played with in years. With Andy about to go to college; the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.','tagline':'No toy gets left behind.','main_category':'Family','homepage':'http://disney.go.com/toystory/'}","{'neighb1':'52','neighb2':'35','neighb3':'2085','neighb4':'36','neighb5':'1827'}"
43,43,"Terminator Salvation","{'movie_id':'534','original_title':'Terminator Salvation','overview':'All grown up in post-apocalyptic 2018; John Connor must lead the resistance of humans against the increasingly dominating militaristic robots. But when Marcus Wright appears; his existence confuses the mission as Connor tries to determine whether Wright has come from the future or the past -- and whether he°s friend or foe.','tagline':'The End Begins.','main_category':'Science_Fiction','homepage':'https://www.warnerbros.com/terminator-salvation'}","{'neighb1':'93','neighb2':'185','neighb3':'249','neighb4':'279','neighb5':'1465'}"
44,44,"Furious 7","{'movie_id':'168259','original_title':'Furious 7','overview':'Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.','tagline':'Vengeance Hits Home','main_category':'','homepage':'http://www.furious7.com/'}","{'neighb1':'25','neighb2':'29','neighb3':'153','neighb4':'134','neighb5':'16'}"
45,45,"World War Z","{'movie_id':'72190','original_title':'World War Z','overview':'Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly; the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. After barely escaping the chaos; Lane is persuaded to go on a mission to investigate this disease. What follows is a perilous trek around the world where Lane must brave horrific dangers and long odds to find answers before human civilization falls.','tagline':'Remember Philly!','main_category':'Drama','homepage':'http://www.worldwarzmovie.com'}","{'neighb1':'632','neighb2':'1654','neighb3':'3133','neighb4':'3749','neighb5':'1786'}"
46,46,"X-Men; Days of Future Past","{'movie_id':'127585','original_title':'X-Men; Days of Future Past','overview':'The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past – to save our future.','tagline':'To save the future; they must alter the past','main_category':'Adventure','homepage':'http://www.x-menmovies.com/'}","{'neighb1':'14','neighb2':'72','neighb3':'9','neighb4':'20','neighb5':'126'}"
47,47,"Star Trek Into Darkness","{'movie_id':'54138','original_title':'Star Trek Into Darkness','overview':'When the crew of the Enterprise is called back home; they find an unstoppable force of terror from within their own organization has detonated the fleet and everything it stands for; leaving our world in a state of crisis.  With a personal score to settle; Captain Kirk leads a manhunt to a war-zone world to capture a one man weapon of mass destruction. As our heroes are propelled into an epic chess game of life and death; love will be challenged; friendships will be torn apart; and sacrifices must be made for the only family Kirk has left: his crew.','tagline':'Earth Will Fall','main_category':'Adventure','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'4','neighb2':'507','neighb3':'342','neighb4':'150','neighb5':'18'}"
48,48,"Jack the Giant Slayer","{'movie_id':'81005','original_title':'Jack the Giant Slayer','overview':'The story of an ancient war that is reignited when a young farmhand unwittingly opens a gateway between our world and a fearsome race of giants. Unleashed on the Earth for the first time in centuries; the giants strive to reclaim the land they once lost; forcing the young man; Jack into the battle of his life to stop them. Fighting for a kingdom; its people; and the love of a brave princess; he comes face to face with the unstoppable warriors he thought only existed in legend–and gets the chance to become a legend himself.','tagline':'Prepare for a giant adventure','main_category':'Family','homepage':'http://jackthegiantkiller.warnerbros.com'}","{'neighb1':'15','neighb2':'63','neighb3':'175','neighb4':'114','neighb5':'368'}"
49,49,"The Great Gatsby","{'movie_id':'64682','original_title':'The Great Gatsby','overview':'An adaptation of F. Scott Fitzgerald°s Long Island-set novel; where Midwesterner Nick Carraway is lured into the lavish world of his neighbor; Jay Gatsby. Soon enough; however; Carraway will see through the cracks of Gatsby°s nouveau riche existence; where obsession; madness; and tragedy await.','tagline':'Reserving judgments is a matter of infinite hope... I come to the admission that it has a limit.','main_category':'Romance','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'493','neighb2':'2666','neighb3':'2109','neighb4':'1260','neighb5':'2547'}"
50,50,"Prince of Persia; The Sands of Time","{'movie_id':'9543','original_title':'Prince of Persia; The Sands of Time','overview':'A rogue prince reluctantly joins forces with a mysterious princess and together; they race against dark forces to safeguard an ancient dagger capable of releasing the Sands of Time – gift from the gods that can reverse time and allow its possessor to rule the world.','tagline':'Defy the Future','main_category':'Fantasy','homepage':'http://disney.go.com/disneypictures/princeofpersia'}","{'neighb1':'206','neighb2':'71','neighb3':'315','neighb4':'208','neighb5':'10'}"
51,51,"Pacific Rim","{'movie_id':'68726','original_title':'Pacific Rim','overview':'When legions of monstrous creatures; known as Kaiju; started rising from the sea; a war began that would take millions of lives and consume humanity°s resources for years on end. To combat the giant Kaiju; a special type of weapon was devised: massive robots; called Jaegers; which are controlled simultaneously by two pilots whose minds are locked in a neural bridge. But even the Jaegers are proving nearly defenseless in the face of the relentless Kaiju. On the verge of defeat; the forces defending mankind have no choice but to turn to two unlikely heroes—a washed-up former pilot (Charlie Hunnam) and an untested trainee (Rinko Kikuchi)—who are teamed to drive a legendary but seemingly obsolete Jaeger from the past. Together; they stand as mankind°s last hope against the mounting apocalypse.','tagline':'To Fight Monsters; We Created Monsters','main_category':'Science_Fiction','homepage':'http://www.pacificrimmovie.com/'}","{'neighb1':'101','neighb2':'56','neighb3':'59','neighb4':'27','neighb5':'91'}"
52,52,"Transformers; Dark of the Moon","{'movie_id':'38356','original_title':'Transformers; Dark of the Moon','overview':'Sam Witwicky takes his first tenuous steps into adulthood while remaining a reluctant human ally of Autobot-leader Optimus Prime. The film centers around the space race between the USSR and the USA; suggesting there was a hidden Transformers role in it all that remains one of the planet°s most dangerous secrets.','tagline':'The invasion we always feared. An enemy we never expected.','main_category':'Science_Fiction','homepage':'http://www.transformersmovie.com/'}","{'neighb1':'42','neighb2':'35','neighb3':'2085','neighb4':'36','neighb5':'1827'}"
